	LSC159	LSC177	LSCabb1	LSCabb2	PKC19
TXNDC16	12	19	14	13	27
GPR137C	1	1	1	2	0
ERO1L	496	456	458	579	311
PSMC6	357	391	393	604	493
STYX	138	112	124	161	138
GNPNAT1	212	304	152	291	203
FERMT2	68	48	30	54	83
DDHD1	67	39	53	46	50
BMP4	18	5	12	26	11
CDKN3	146	98	65	121	128
CNIH1	427	458	386	490	493
GMFB	277	240	285	331	202
CGRRF1	34	37	21	14	16
SAMD4A	93	71	50	65	38
GCH1	26	25	27	45	18
WDHD1	141	107	110	136	112
SOCS4	146	128	115	107	66
MAPK1IP1L	701	604	452	618	490
LGALS3	436	193	342	217	706
DLGAP5	127	137	165	206	220
FBXO34	51	47	74	33	87
ATG14	29	25	18	33	31
TBPL2	0	0	0	0	1
KTN1-AS1	4	3	2	4	3
KTN1	1658	1097	1108	958	1395
RPL13AP3	79	70	45	135	110
LINC00520	0	0	0	0	8
PELI2	2	4	0	1	1
TMEM260	37	55	31	35	37
OTX2-AS1	1	0	1	0	2
EXOC5	368	338	304	373	341
AP5M1	88	91	87	122	118
NAA30	107	101	81	94	88
C14orf37	0	0	1	5	8
ACTR10	233	204	286	353	319
PSMA3	300	336	266	351	304
FLJ31306	15	17	6	17	12
ARID4A	87	69	79	73	78
TOMM20L	2	1	0	1	1
TIMM9	91	57	80	67	87
KIAA0586	61	41	44	38	39
DAAM1	365	372	282	382	827
L3HYPDH	10	1	2	6	4
JKAMP	192	175	125	204	142
LRRC9	1	0	0	0	0
PCNXL4	111	76	95	101	69
DHRS7	375	325	281	377	322
LOC101927702	1	0	0	0	0
PPM1A	148	125	109	159	132
C14orf39	0	0	0	0	0
SIX1	1	0	8	1	0
SIX4	30	29	40	32	5
MNAT1	75	50	63	47	61
TRMT5	62	50	42	39	45
SLC38A6	20	25	16	21	14
TMEM30B	116	82	97	165	103
PRKCH	50	47	48	54	33
RP11-47I22.2	1	1	0	1	1
FLJ22447	0	0	0	3	2
HIF1A-AS1	4	0	1	0	1
HIF1A	171	136	135	144	77
HIF1A-AS2	1	0	1	0	3
SNAPC1	56	39	116	99	92
SYT16	1	1	2	1	0
LINC00643	0	0	0	0	0
RHOJ	0	1	1	2	1
PPP2R5E	295	284	214	294	285
WDR89	47	50	54	78	39
SGPP1	140	126	134	152	136
SYNE2	414	297	265	160	421
MTHFD1	34	22	18	21	16
ZBTB25	2	0	1	1	1
ZBTB1	23	17	23	26	35
HSPA2	18	42	16	26	79
PPP1R36	0	1	0	3	1
PLEKHG3	151	75	32	108	125
SPTB	14	16	9	15	12
CHURC1	1	3	0	1	2
GPX2	0	0	0	1	0
FUT8	83	65	63	85	44
LINC00238	3	0	0	0	0
GPHN	75	94	60	52	54
FAM71D	0	0	0	1	0
MPP5	158	140	133	148	127
ATP6V1D	328	232	196	276	256
EIF2S1	485	431	296	389	312
PLEK2	487	397	265	314	301
PLEKHH1	7	4	4	3	1
PIGH	15	8	8	3	19
ARG2	55	52	42	43	45
VTI1B	16	11	3	4	3
RDH11	762	699	511	805	490
ZFYVE26	10	3	2	2	1
RAD51B	6	7	6	6	4
ZFP36L1	4228	2894	2231	2521	2233
ACTN1	5085	4216	2755	5799	1925
DCAF5	117	80	49	69	72
EXD2	76	67	37	59	51
ERH	1092	1042	448	1100	646
SLC39A9	180	169	160	255	199
KIAA0247	165	92	105	157	73
SRSF5	658	524	268	436	305
SMOC1	1	0	0	0	2
SYNJ2BP-COX16	1	1	2	4	1
COX16	16	14	20	18	22
ADAM21	0	6	2	3	0
ADAM20P1	0	0	0	0	0
ADAM20	0	0	0	0	0
MED6	32	16	14	16	13
TTC9	2	11	15	14	2
MAP3K9	133	87	56	97	17
LOC100506411	56	50	54	74	14
PCNX	281	179	164	188	76
LOC102724015	2	2	0	0	0
LOC102724024	5	3	2	1	0
LOC145474	5	1	2	4	2
SIPA1L1	129	96	84	83	57
DPF3	5	0	2	0	0
LOC102724054	0	0	0	1	0
DCAF4	6	6	5	7	1
ZFYVE1	32	17	10	28	16
RBM25	488	374	288	381	322
PSEN1	137	139	81	106	116
PAPLN	39	9	40	40	6
NUMB	242	196	168	254	212
HEATR4	1	0	1	2	0
ACOT2	8	1	2	7	9
ACOT4	3	4	2	4	6
DNAL1	68	50	38	37	30
PNMA1	56	44	42	40	51
ELMSAN1	188	219	152	223	213
RP5-1021I20.1	1	0	0	0	0
PTGR2	36	29	39	41	32
ZNF410	131	124	79	160	116
FAM161B	8	4	0	0	2
COQ6	4	3	1	6	1
ENTPD5	12	2	1	3	1
CCDC176	0	2	1	0	1
ALDH6A1	4	12	4	9	4
LIN52	12	6	2	11	4
ABCD4	22	31	11	33	26
NPC2	1017	773	524	1005	1650
ISCA2	148	149	86	178	138
LTBP2	264	147	147	247	51
AREL1	95	86	51	102	54
FCF1	88	97	78	121	92
YLPM1	267	186	130	224	165
PROX2	1	1	2	1	0
DLST	13	4	1	3	6
RPS6KL1	0	1	0	0	0
PGF	13	12	5	16	2
EIF2B2	145	98	58	133	59
MLH3	41	20	30	19	22
ACYP1	17	20	47	66	53
ZC2HC1C	1	1	3	0	0
NEK9	93	69	87	122	97
TMED10	1655	1621	1180	1809	1150
FOS	153	287	330	599	101
RP11-293M10.5	1	0	0	2	0
LOC101928377	0	0	0	1	0
JDP2	28	18	47	70	81
LOC102724153	0	0	0	1	0
FLVCR2	2	0	2	0	2
C14orf1	397	339	146	385	254
TTLL5	69	34	18	34	34
TGFB3	6	10	2	4	3
IFT43	22	12	3	9	7
GPATCH2L	19	2	5	3	4
VASH1	0	0	0	1	1
LOC100506603	18	7	1	4	4
ANGEL1	28	21	22	51	20
C14orf166B	0	0	1	0	0
IRF2BPL	238	197	203	439	309
LOC102724190	1	0	0	0	0
CIPC	40	50	42	57	57
ZDHHC22	1	0	0	0	0
TMEM63C	0	0	2	2	2
POMT2	33	17	8	15	14
GSTZ1	19	8	7	22	22
TMED8	28	20	13	9	11
SAMD15	0	0	0	1	0
NOXRED1	1	1	0	0	0
VIPAS39	33	25	42	43	43
AHSA1	272	187	129	265	293
SPTLC2	313	227	180	254	177
ALKBH1	40	30	21	57	27
SLIRP	302	206	135	199	137
SNW1	182	147	144	137	207
ADCK1	9	12	5	16	12
NRXN3	5	0	2	1	3
DIO2	0	0	0	0	2
CEP128	31	23	25	19	35
GTF2A1	197	179	190	227	120
LOC101928504	1	1	0	0	1
STON2	587	500	347	600	294
SEL1L	361	287	242	280	206
LINC00911	3	2	1	0	0
LOC100506731	4	0	2	1	0
FLRT2	250	153	189	158	112
LOC101928767	0	0	0	0	1
LOC283585	0	0	0	1	0
GALC	5	7	3	4	3
KCNK10	0	0	0	0	4
SPATA7	5	5	7	6	14
PTPN21	11	4	2	8	1
ZC3H14	101	85	66	81	72
EML5	24	26	12	12	21
TTC8	45	31	35	46	75
FOXN3	140	76	111	97	197
FOXN3-AS1	1	1	0	0	0
EFCAB11	32	37	9	36	30
TDP1	61	59	51	55	74
PSMC1	250	144	104	128	117
NRDE2	26	11	8	10	17
CALM1	2707	1900	1771	1928	1778
TTC7B	49	29	26	46	25
RPS6KA5	25	23	29	35	63
C14orf159	55	28	49	45	63
GPR68	6	12	3	4	0
CCDC88C	20	33	23	73	21
SMEK1	210	210	196	237	216
CATSPERB	1	0	0	0	1
TC2N	50	79	55	66	83
FBLN5	1	18	0	0	1
TRIP11	116	89	91	103	71
ATXN3	99	84	56	96	74
NDUFB1	45	34	22	26	30
CPSF2	294	263	224	307	236
SLC24A4	2	0	0	1	1
RIN3	1	0	0	2	0
LGMN	165	136	127	152	135
GOLGA5	120	106	93	111	80
LOC101929002	0	0	0	0	0
ITPK1	3	4	0	2	2
MOAP1	28	12	18	34	18
TMEM251	49	25	15	28	32
C14orf142	34	37	47	40	54
UBR7	125	110	82	114	132
BTBD7	410	246	158	180	144
UNC79	1	0	0	0	0
PRIMA1	0	0	0	0	1
FAM181A	0	0	2	3	0
ASB2	0	1	0	0	0
OTUB2	17	7	0	6	4
DDX24	375	312	301	450	282
IFI27L1	21	13	13	21	46
IFI27	4	0	1	2	984
IFI27L2	38	31	14	32	25
PPP4R4	64	66	75	65	64
SERPINA10	2	3	1	3	0
SERPINA1	2	1	0	0	0
DICER1	508	392	337	321	180
DICER1-AS1	2	1	5	1	3
CLMN	73	78	46	70	48
LINC00341	11	14	13	16	11
SYNE3	3	1	1	0	0
SNHG10	11	5	6	5	3
GLRX5	207	267	159	264	261
TCL6	0	0	0	0	1
C14orf132	1	1	1	0	10
BDKRB2	44	26	27	32	19
BDKRB1	17	11	14	25	10
ATG2B	95	64	63	61	52
GSKIP	101	79	105	79	130
AK7	2	2	3	2	14
PAPOLA	630	622	576	741	593
LOC102724667	0	0	0	0	2
VRK1	187	165	144	164	156
LINC00618	0	1	1	0	0
C14orf64	0	0	1	0	5
BCL11B	215	250	191	276	475
SETD3	180	170	123	195	168
CCNK	163	164	96	142	140
CCDC85C	80	85	40	91	80
HHIPL1	0	1	1	1	1
EML1	2	5	3	0	48
EVL	85	68	20	53	49
DEGS2	0	0	0	1	0
YY1	389	385	285	347	368
SLC25A29	11	4	2	6	7
WARS	191	198	109	199	96
WDR25	8	3	2	1	4
BEGAIN	0	1	0	3	2
MEG3	130	13	41	78	0
RTL1	2	0	0	1	0
MEG8	1	1	1	1	0
AL132709.5	22	5	7	8	0
SNORD114-7	0	0	0	0	0
SNORD114-8	0	0	1	0	0
SNORD114-9	0	0	0	1	0
RP11-909M7.3	12	0	1	4	0
SNORD114-30	0	0	1	0	0
MEG9	7	0	3	6	0
LINC00239	0	0	0	0	0
PPP2R5C	244	237	187	272	298
DYNC1H1	1493	849	653	933	721
HSP90AA1	6073	5002	6597	10456	4119
WDR20	3	2	0	2	1
MOK	40	20	11	10	4
ZNF839	28	16	13	14	15
CINP	37	32	24	31	55
TECPR2	40	38	25	40	42
ANKRD9	17	6	5	12	23
RCOR1	211	216	195	251	285
TRAF3	153	119	74	125	64
AMN	0	0	0	0	0
CDC42BPB	258	154	85	121	123
TNFAIP2	3	2	2	2	2
EIF5	731	622	459	551	400
MARK3	187	143	95	146	149
CKB	7	15	7	33	55
TRMT61A	4	1	0	2	4
BAG5	241	190	113	187	156
APOPT1	77	44	22	24	22
KLC1	51	26	27	13	8
XRCC3	1	0	0	0	0
ZFYVE21	200	145	119	220	302
PPP1R13B	24	13	5	17	17
LINC00637	2	0	0	0	0
C14orf2	271	211	179	170	206
TDRD9	28	1	0	0	2
ASPG	0	0	0	0	1
KIF26A	0	0	0	0	8
LOC101929634	1	0	1	0	0
INF2	7	1	1	3	6
ADSSL1	1	0	3	11	4
SIVA1	122	49	43	58	72
AKT1	10	9	2	66	10
ZBTB42	5	3	2	1	6
CEP170B	217	88	93	166	161
PLD4	2	0	0	0	3
AHNAK2	693	367	237	349	692
C14orf79	3	0	0	0	0
CDCA4	382	285	127	244	154
GPR132	2	1	3	2	0
LOC102723354	1	1	1	0	2
JAG2	84	27	39	128	75
NUDT14	9	6	3	13	2
BRF1	3	2	3	1	6
BTBD6	1	0	0	0	0
PACS2	20	12	11	15	19
RP11-521B24.3	1	2	1	0	0
MTA1	244	148	84	282	122
CRIP2	43	25	7	68	86
CRIP1	2	1	3	2	9
C14orf80	4	3	1	4	4
TMEM121	1	2	0	1	0
HERC2P3	1	0	0	0	0
LOC646214	2	3	5	8	5
CXADRP2	0	0	0	1	1
LOC102724737	3	4	6	3	8
HERC2P7	0	0	2	0	0
HERC2P2	31	39	28	47	73
WHAMMP3	3	3	2	3	0
LOC283683	1	0	0	0	0
NIPA1	29	30	21	26	40
NIPA2	263	292	177	267	225
CYFIP1	624	526	473	657	418
TUBGCP5	64	43	36	35	44
GOLGA8DP	0	0	1	0	0
LOC102723564	0	1	0	1	0
MKRN3	0	0	1	0	0
MAGEL2	0	1	0	0	0
NDN	66	66	28	90	13
PWARSN	31	33	24	32	3
PWAR5	15	6	9	16	2
SNORD116-26	0	0	1	0	0
IPW	88	125	93	128	22
PWAR1	1	0	2	0	0
UBE3A	459	362	272	383	323
ATP10A	0	0	0	2	0
GABRB3	0	2	0	8	2
HERC2	136	121	59	89	78
LOC645202	0	0	0	0	0
LOC101929047	0	0	0	0	0
WHAMMP2	2	2	4	1	1
LOC646278	1	1	0	0	2
APBA2	2	0	1	0	0
TJP1	432	480	417	360	291
LOC102724005	0	0	0	2	1
ARHGAP11B	5	5	4	3	4
LOC100288637	33	23	22	29	43
FAN1	23	18	15	19	22
MTMR10	9	8	12	5	9
TRPM1	0	0	0	2	0
RP11-16E12.2	0	0	1	1	0
KLF13	367	330	197	384	623
CHRNA7	1	0	0	0	0
WHAMMP1	7	8	14	8	6
LOC100996255	8	6	9	7	17
ARHGAP11A	152	144	169	132	192
SCG5	90	49	23	27	30
GREM1	1	30	0	0	0
FMN1	8	2	2	8	2
RYR3	9	5	4	3	1
AVEN	43	36	19	36	24
EMC7	287	276	180	319	286
PGBD4	13	4	7	3	3
KATNBL1	111	105	123	138	138
EMC4	347	375	174	392	329
SLC12A6	58	55	26	53	48
NOP10	342	273	262	251	279
LPCAT4	186	145	102	324	145
GOLGA8A	53	39	56	53	56
GOLGA8B	92	23	46	43	97
AQR	155	173	166	185	115
ZNF770	335	291	283	345	423
DPH6	36	33	25	30	13
DPH6-AS1	1	1	1	0	5
C15orf41	5	4	1	2	6
CSNK1A1P1	0	0	0	0	1
MEIS2	44	49	28	47	38
SPRED1	222	203	184	183	94
FAM98B	206	211	231	262	254
RASGRP1	4	1	2	2	4
LOC101928245	10	4	6	8	3
C15orf54	2	1	1	0	0
THBS1	1111	526	213	289	71
FSIP1	2	4	3	5	1
GPR176	116	95	53	79	19
LOC100505534	1	1	0	0	0
EIF2AK4	280	157	190	260	209
SRP14	374	467	312	487	691
SRP14-AS1	3	1	3	6	5
BMF	0	0	0	1	2
BUB1B	33	18	19	25	20
PAK6	43	18	24	36	97
LINC00984	61	29	32	68	13
C15orf52	21	14	10	23	3
DISP2	2	2	0	2	1
KNSTRN	89	64	109	139	123
IVD	7	1	0	3	5
BAHD1	56	41	26	72	43
CHST14	65	52	32	83	25
C15orf57	13	12	5	3	6
RPUSD2	48	25	11	24	25
CASC5	127	109	95	62	99
RAD51-AS1	2	2	1	3	2
RAD51	68	84	41	102	64
RMDN3	71	71	43	67	59
GCHFR	2	3	0	5	3
DNAJC17	16	5	6	8	12
ZFYVE19	11	7	8	7	10
LOC102724362	1	0	0	0	0
SPINT1	122	119	20	134	54
RHOV	0	0	0	0	1
VPS18	35	27	8	14	13
DLL4	0	0	1	0	0
CHAC1	83	142	48	288	38
INO80	131	97	70	97	91
EXD1	0	0	0	0	0
CHP1	418	305	317	386	432
OIP5-AS1	61	54	43	47	57
OIP5	58	60	50	99	83
NUSAP1	203	164	194	261	416
NDUFAF1	66	41	57	83	69
RTF1	230	165	173	240	248
RPAP1	28	11	17	19	24
TYRO3	5	7	3	7	21
MGA	106	60	67	97	90
MAPKBP1	82	43	31	73	47
SPTBN5	0	0	0	0	1
EHD4	211	152	71	151	64
PLA2G4D	0	0	0	2	2
PLA2G4F	3	2	2	1	15
VPS39	120	66	37	80	87
TMEM87A	505	414	285	373	400
GANC	60	31	29	69	36
CAPN3	6	2	5	8	14
ZNF106	253	169	137	189	212
SNAP23	226	235	173	291	162
LRRC57	61	51	48	41	69
HAUS2	142	134	118	178	103
STARD9	16	8	10	8	8
CDAN1	6	10	4	10	5
LOC102724445	44	21	36	64	31
TTBK2	87	44	62	60	26
UBR1	210	143	158	177	96
TMEM62	16	8	2	5	6
CCNDBP1	123	88	86	135	94
TGM5	0	0	1	0	0
LCMT2	32	51	24	42	28
ADAL	32	18	17	27	28
ZSCAN29	45	54	33	56	54
TUBGCP4	42	55	40	77	63
TP53BP1	167	97	113	109	97
MAP1A	3	4	1	8	1
PPIP5K1	29	16	15	11	20
CKMT1B	28	25	22	47	46
STRC	0	1	1	2	0
CATSPER2	16	12	10	14	8
CKMT1A	35	12	33	32	49
LOC101930343	0	0	0	0	0
CATSPER2P1	9	8	2	9	7
PDIA3	857	963	620	1235	730
ELL3	31	15	24	26	47
SERF2	5	9	1	26	5
HYPK	1	0	0	0	0
MFAP1	111	79	73	96	87
WDR76	43	28	18	30	41
FRMD5	38	17	20	16	9
CASC4	170	106	176	116	185
CTDSPL2	129	91	76	71	71
EIF3J-AS1	9	6	6	17	17
EIF3J	253	287	175	260	222
SPG11	163	126	102	118	114
PATL2	0	2	1	0	3
B2M	3617	3031	2886	3991	10847
TRIM69	0	1	1	1	4
SORD	191	189	180	272	197
DUOX2	1	1	0	3	4
DUOXA1	7	4	0	2	2
DUOX1	86	44	42	69	133
SHF	0	0	0	0	1
LOC101928414	0	1	0	0	1
SLC28A2	0	1	0	0	0
GATM	1	0	0	0	8
SPATA5L1	23	10	21	15	20
C15orf48	0	0	1	0	0
SLC30A4	5	3	1	1	6
HMGN2P46	0	0	0	1	0
BLOC1S6	322	295	175	247	257
SQRDL	577	330	483	423	193
SEMA6D	5	1	2	2	3
SLC24A5	0	0	0	1	0
MYEF2	9	7	4	8	2
SLC12A1	1	0	0	0	0
DUT	1010	891	756	877	912
FBN1	19	15	8	13	5
CEP152	46	37	46	43	47
SHC4	1	0	0	1	0
SECISBP2L	102	73	67	114	74
COPS2	347	350	302	366	346
GALK2	2	2	0	1	1
FAM227B	1	2	0	1	0
DTWD1	44	38	39	60	51
SLC27A2	0	0	2	2	2
GABPB1	107	76	67	93	64
GABPB1-AS1	66	33	27	46	28
MIR4712	0	0	0	1	0
USP8	244	187	114	178	179
USP50	0	0	0	0	0
TRPM7	254	192	116	144	113
SPPL2A	81	63	38	35	37
AP4E1	146	144	99	177	115
TNFAIP8L3	1	0	1	3	14
CYP19A1	0	0	0	0	0
GLDN	1	0	0	0	1
DMXL2	62	39	40	31	45
SCG3	0	0	1	0	0
LYSMD2	41	34	55	68	72
TMOD2	28	28	36	32	43
TMOD3	562	491	554	652	872
LOC100422556	0	0	0	0	1
LEO1	81	66	103	114	144
MAPK6	428	354	373	403	462
BCL2L10	0	1	1	5	7
GNB5	92	58	49	74	87
RP11-430B1.2	0	0	0	0	0
MYO5C	9	8	7	13	0
MYO5A	391	308	246	226	255
ARPP19	806	730	651	999	655
FAM214A	45	37	37	50	24
WDR72	1	0	0	0	1
RSL24D1	393	455	442	513	454
RAB27A	99	58	67	85	62
LOC101928527	10	9	7	6	11
PIGB	22	15	6	6	6
CCPG1	1	0	0	0	0
PYGO1	33	11	6	16	9
PRTG	0	1	0	0	0
NEDD4	164	120	102	115	42
RFX7	222	173	150	175	138
TEX9	7	3	9	4	3
MNS1	2	6	7	4	3
ZNF280D	49	37	40	49	33
LOC145783	0	0	0	1	0
TCF12	132	110	149	147	141
LINC00926	1	0	0	0	0
CGNL1	0	3	3	3	3
LOC101928635	1	1	0	0	0
LIPC	0	0	0	0	1
ADAM10	543	436	495	498	378
LOC101928725	2	2	0	0	0
FAM63B	122	87	90	129	96
SLTM	348	373	279	350	297
RNF111	121	67	57	64	77
CCNB2	178	104	168	184	290
MYO1E	397	250	140	273	189
FAM81A	3	2	0	4	2
GTF2A2	345	339	288	341	259
BNIP2	360	347	364	389	264
ANXA2	9341	6526	6498	8020	9049
NARG2	90	114	111	123	106
RORA	17	23	20	21	62
VPS13C	293	199	214	230	123
TLN2	15	9	8	12	11
LOC101928955	0	1	0	0	0
TPM1	954	488	581	1383	385
LACTB	59	32	52	57	107
RPS27L	457	319	377	415	525
RAB8B	116	98	87	121	89
APH1B	24	16	19	14	25
CA12	736	422	506	1189	1799
USP3	31	14	12	19	21
USP3-AS1	0	0	0	0	0
FBXL22	0	1	0	0	0
HERC1	178	99	72	107	95
DAPK2	0	0	2	1	2
FAM96A	268	230	264	284	337
SNX1	37	14	24	34	43
SNX22	0	0	0	0	2
PPIB	92	75	33	113	58
CSNK1G1	243	148	121	167	144
KIAA0101	412	395	288	431	437
TRIP4	82	62	63	58	64
ZNF609	204	155	112	183	110
OAZ2	117	79	61	117	96
RBPMS2	0	0	0	0	1
PIF1	30	5	31	10	28
PLEKHO2	23	6	7	4	7
ANKDD1A	30	16	9	10	5
SPG21	415	422	371	765	622
MTFMT	58	60	28	61	56
UBAP1L	0	0	0	2	3
PDCD7	83	55	62	87	115
CLPX	129	98	86	140	113
RNU5A-1	0	0	0	0	0
IGDCC4	0	0	0	3	2
DPP8	244	187	142	205	195
PTPLAD1	476	399	328	430	410
VWA9	98	113	73	136	86
SLC24A1	12	3	2	3	1
DENND4A	48	24	43	34	21
RAB11A	726	536	577	841	650
MEGF11	1	0	0	0	0
DIS3L	35	34	22	50	43
TIPIN	70	68	30	47	32
MAP2K1	6	5	4	2	0
SNAPC5	1	0	0	1	0
RPL4	819	539	595	452	699
ZWILCH	68	53	39	41	45
SMAD6	0	1	1	1	1
SMAD3	301	237	191	353	193
AAGAB	163	122	92	134	158
IQCH	2	1	2	1	1
IQCH-AS1	2	1	0	0	1
C15orf61	51	34	30	81	73
MAP2K5	22	9	10	10	18
RP11-34F13.2	0	1	0	0	0
PIAS1	160	116	111	167	286
CALML4	18	8	6	6	17
CLN6	11	7	1	2	7
FEM1B	277	298	277	338	339
ITGA11	0	2	1	0	0
CORO2B	14	3	2	9	0
ANP32A	450	484	385	583	477
GLCE	58	67	58	52	31
LOC102723548	0	1	0	0	0
PAQR5	1	5	11	15	1
KIF23	141	150	150	113	168
RPLP1	2752	1921	1836	1363	3351
RP11-279F6.1	0	0	0	0	1
TLE3	62	33	28	55	58
UACA	215	174	204	179	134
LARP6	51	32	20	58	27
LRRC49	38	18	18	18	12
CT62	23	0	1	2	1
THSD4	460	181	210	302	154
NR2E3	8	4	1	5	0
MYO9A	156	88	96	138	112
SENP8	9	14	10	14	15
GRAMD2	15	22	33	54	27
PKM	6487	4430	1729	6678	3100
PARP6	24	10	9	18	43
CELF6	0	0	0	1	0
HEXA	71	59	33	61	54
HEXA-AS1	0	0	0	2	0
ARIH1	182	153	122	179	141
MIR630	0	3	4	1	4
HIGD2B	0	1	0	1	0
BBS4	32	23	24	30	27
ADPGK	106	104	78	116	60
NEO1	78	46	39	43	50
C15orf60	0	0	0	0	0
NPTN	33	38	10	26	27
CD276	93	46	32	55	76
C15orf59	0	0	0	0	0
LOXL1-AS1	9	16	20	43	17
LOXL1	50	20	23	63	45
STOML1	10	2	3	2	2
PML	37	31	18	32	23
LOC102723673	0	0	0	0	0
CYP11A1	0	0	0	0	0
SEMA7A	85	26	39	38	17
UBL7	51	44	5	43	23
UBL7-AS1	7	6	6	2	2
LOC102723714	0	0	0	0	0
ARID3B	58	57	32	59	13
LOC102723772	2	0	0	0	0
CLK3	22	10	31	31	54
EDC3	55	25	8	15	14
CYP1A1	4	5	0	1	2
CYP1A2	1	0	0	0	0
CSK	131	96	36	164	41
ULK3	14	10	7	12	21
SCAMP2	283	182	78	211	209
MPI	27	30	27	46	24
FAM219B	15	8	12	8	18
COX5A	414	304	221	315	297
RPP25	9	0	1	4	2
SCAMP5	4	1	0	0	0
PPCDC	11	4	2	1	2
C15orf39	24	16	7	23	20
GOLGA6C	0	0	1	1	0
COMMD4	154	148	39	117	118
NEIL1	5	2	4	7	6
MAN2C1	37	21	12	16	20
SIN3A	164	119	101	186	121
PTPN9	22	7	5	3	4
SNUPN	18	19	11	19	18
IMP3	370	360	151	440	361
SNX33	92	53	13	112	65
CSPG4	6	8	2	15	18
ODF3L1	1	0	1	0	0
DNM1P35	2	0	0	1	0
UBE2Q2	208	182	150	203	130
FBXO22	78	50	99	108	84
NRG4	10	5	9	11	6
ETFA	258	215	329	353	437
ISL2	0	0	0	1	0
SCAPER	62	34	37	42	52
RCN2	314	386	398	489	440
PSTPIP1	0	2	0	1	0
TSPAN3	299	228	173	420	258
PEAK1	60	30	39	72	61
HMG20A	49	47	76	71	69
LOC91450	0	0	0	0	2
TBC1D2B	105	41	28	45	19
CIB2	10	14	3	12	21
IDH3A	206	200	146	267	237
ACSBG1	1	0	1	0	0
DNAJA4	8	11	26	20	33
WDR61	175	169	150	134	171
IREB2	244	175	179	210	189
HYKK	4	1	0	1	5
PSMA4	506	357	381	407	481
CHRNA5	7	9	0	2	2
ADAMTS7	11	3	5	16	1
MORF4L1	865	949	664	1193	730
CTSH	47	16	12	6	41
RASGRF1	0	1	0	2	0
TMED3	2	0	0	0	0
KIAA1024	2	5	4	0	2
ST20	0	0	0	0	1
C15orf37	7	8	4	11	1
BCL2A1	7	0	7	8	0
ZFAND6	194	180	209	313	218
FAH	132	75	35	85	42
LOC100996492	0	0	0	1	2
LINC00927	0	1	0	0	0
ARNT2	2	1	1	3	1
ABHD17C	152	108	118	194	127
LOC102723954	0	0	0	0	0
MESDC2	377	355	192	360	131
MESDC1	125	175	60	194	43
C15orf26	0	0	1	0	0
IL16	1	0	0	1	5
STARD5	28	25	20	65	70
MEX3B	3	5	3	11	1
LOC101929690	1	0	0	0	0
EFTUD1	82	39	61	42	54
FAM154B	1	1	1	1	2
GOLGA6L10	0	0	0	0	1
UBE2Q2P3	10	6	4	4	1
GOLGA6L9	15	5	12	7	19
LOC80154	0	0	0	0	0
RPS17	850	879	407	849	713
CPEB1	1	0	2	0	1
AC105339.1	0	0	0	0	1
LOC283693	0	1	0	1	0
RP11-752G15.6	3	2	2	3	8
FSD2	0	0	1	0	0
WHAMM	39	43	22	28	45
HOMER2	42	32	28	57	46
FAM103A1	1	0	0	0	0
C15orf40	17	8	1	9	7
BTBD1	105	135	132	176	156
HDGFRP3	119	52	32	50	30
BNC1	816	692	414	508	555
SH3GL3	2	1	4	3	0
UBE2Q2L	0	3	0	2	0
GOLGA6L4	0	0	1	0	0
GOLGA6L5P	0	2	0	1	1
UBE2Q2P1	21	17	7	15	2
LINC00933	2	3	2	1	1
ZSCAN2	4	1	0	1	0
SCAND2P	19	8	3	6	3
WDR73	34	31	19	24	20
NMB	27	23	41	22	42
SEC11A	720	772	402	895	437
ZNF592	42	37	19	18	39
ALPK3	0	0	0	0	1
PDE8A	85	90	44	59	55
LOC101929479	0	0	0	0	0
AKAP13	181	131	65	122	148
RP11-158M2.5	0	0	1	0	0
KLHL25	0	1	2	1	4
LOC101929724	1	0	0	0	0
MRPL46	35	9	7	15	12
MRPS11	39	33	13	30	25
DET1	0	0	0	1	0
AEN	50	21	28	22	20
ISG20	9	5	8	6	15
ACAN	0	0	0	0	1
HAPLN3	18	5	5	9	3
MFGE8	13	10	2	15	13
ABHD2	317	224	129	232	138
RLBP1	0	0	1	0	0
FANCI	74	44	27	39	28
POLG	11	2	1	3	1
RHCG	1	0	0	0	9
TICRR	24	11	5	4	6
KIF7	0	0	0	1	0
PLIN1	0	0	0	1	0
PEX11A	22	13	17	22	17
WDR93	0	0	0	0	1
MESP2	0	1	1	0	1
ANPEP	5	25	2	0	1
C15orf38-AP3S2	0	0	0	1	0
C15orf38	1	0	0	0	0
ZNF710	45	35	26	38	29
IDH2	80	43	49	67	138
SEMA4B	950	784	242	841	182
CIB1	426	231	324	347	323
NGRN	291	259	185	318	289
ZNF774	3	0	0	0	0
IQGAP1	2347	2076	1834	2081	1916
CRTC3	2	4	0	2	0
LOC101926895	0	0	1	0	0
BLM	60	38	50	44	36
FURIN	119	44	38	86	74
FES	2	1	0	0	1
MAN2A2	20	6	4	9	11
UNC45A	74	51	19	63	43
HDDC3	0	0	1	0	0
RCCD1	0	1	0	0	1
PRC1	31	11	11	8	10
VPS33B	55	19	26	40	46
AC068831.10	0	0	0	0	1
SLCO3A1	23	15	2	9	20
LINC00930	0	0	0	0	1
FAM174B	1	1	0	1	0
LOC643797	0	0	1	0	0
LOC101926994	0	0	0	0	1
LOC100507217	206	188	172	271	258
CHD2	330	237	279	278	242
RGMA	2	1	2	2	15
MCTP2	45	39	39	34	38
